id_card_id,submission_date,id_type,issuing_country,image_sharpness,brightness_score,contrast_score,hologram_detected,hologram_confidence,microprint_quality,uv_features_detected,uv_confidence,ocr_confidence,font_consistency_score,text_alignment_score,face_detected,face_detection_confidence,face_quality_score,face_symmetry_score,edge_consistency,lighting_consistency,color_histogram_score,template_match_score,is_expired,document_age_years,is_fraudulent,fraud_type,predicted_fraudulent,fraud_probability,prediction_correct,risk_category
ID000022,2025-01-03,state_id,Canada,0.9661,0.9159,1.0,False,0.8186,0.9072,False,0.8665,1.0,0.8434,0.8128,True,0.91,0.6176,0.8279,0.8369,0.8735,0.8742,1.0,False,3.1,0,,0,0.0,True,low_risk
ID000023,2022-04-14,drivers_license,UK,0.8957,0.9171,0.9068,True,0.9981,0.89,True,0.8381,0.9156,0.8802,0.9036,True,0.8851,0.8641,0.8631,0.9093,0.8851,0.5948,0.8559,False,2.73,0,,0,0.0046907186584269015,True,low_risk
ID000024,2024-04-01,passport,Spain,0.8504,0.8247,0.7995,False,0.9298,0.7132,True,0.8372,0.9272,0.936,0.9369,True,0.8838,0.6766,0.9722,0.9133,0.7926,0.9951,0.9169,False,5.2,0,,0,0.0,True,low_risk
ID000025,2024-05-16,state_id,Canada,0.8636,0.9353,0.9324,False,0.8933,0.718,False,0.8258,1.0,0.9614,0.8453,True,0.9229,0.6569,0.9855,0.952,0.8477,0.86,0.7797,False,7.84,0,,0,0.006382786498779023,True,low_risk
ID000026,2023-10-05,state_id,Canada,0.8943,0.3516,0.3475,False,0.4389,0.4191,False,0.2928,0.3079,0.5622,0.3982,True,0.9735,0.6607,0.4808,0.4472,0.247,0.5081,0.8015,True,3.34,1,photo_swap,1,0.999432922089898,True,critical_risk
ID000027,2025-10-14,state_id,UK,0.8143,0.7724,0.7666,True,0.8353,0.6766,True,0.8328,0.9234,0.7402,0.8718,True,0.9421,0.8815,0.9664,0.9496,0.8042,0.7664,0.9448,False,2.09,0,,0,0.012774350703650595,True,low_risk
ID000028,2024-05-08,national_id,France,0.828,0.5898,0.7036,False,0.9893,0.9845,True,0.8276,0.9546,0.9218,1.0,True,0.996,0.8172,0.7936,0.7775,0.8783,0.7644,0.8247,False,0.2,0,,0,0.004619285714285715,True,low_risk
ID000029,2024-07-25,drivers_license,USA,0.7651,0.7546,0.7704,True,0.8519,0.8418,True,0.932,0.9833,0.9458,0.8101,True,0.9398,1.0,0.9512,0.8592,1.0,0.8012,0.8699,False,3.63,0,,0,0.0,True,low_risk
ID000030,2024-11-02,national_id,UK,0.9241,1.0,0.7141,True,0.925,0.7549,True,0.8062,0.8845,0.8395,0.8839,True,0.8985,0.857,0.866,0.8733,0.7783,0.7823,0.9553,False,1.71,0,,0,0.0,True,low_risk
ID000031,2025-06-06,drivers_license,France,0.8923,0.8408,1.0,True,1.0,0.9133,False,0.7814,0.8861,0.8299,0.9024,True,0.803,0.7841,0.8455,0.7833,0.9318,0.7261,0.9261,False,4.81,0,,0,0.0,True,low_risk
ID000032,2025-02-07,national_id,Germany,0.7979,0.8247,0.7626,True,0.8492,0.9206,False,0.7981,0.9701,0.8209,0.9224,True,1.0121,0.5828,0.8062,0.9304,0.8417,0.8771,0.8738,False,9.38,0,,0,0.0,True,low_risk
ID000033,2023-05-30,drivers_license,UK,0.889,0.978,0.8292,True,0.8891,0.7605,True,0.9029,0.9009,0.8777,0.9235,False,0.0,0.0,0.8363,0.7354,0.8925,0.813,0.9669,False,8.17,0,,0,0.0031707197489703864,True,low_risk
ID000034,2025-07-28,passport,Italy,0.687,0.7192,0.6716,True,0.8519,0.8218,True,1.0,0.9396,0.8847,0.9464,False,0.0,0.0,0.252,0.9065,0.9294,0.6921,0.9786,False,1.39,0,,0,0.0154920727415566,True,low_risk
ID000035,2025-01-22,national_id,Canada,0.7264,0.8245,0.7745,False,0.4664,0.2623,False,0.3888,0.4835,0.4166,0.8767,True,0.9601,0.5035,0.7992,0.8074,0.3822,0.4388,0.515,False,3.61,1,expired_genuine,1,0.9960101725086793,True,critical_risk
ID000036,2022-03-23,passport,Germany,0.9196,0.9556,0.8772,True,1.0,0.7426,True,0.738,0.8133,1.0,0.9323,True,0.9372,0.858,0.78,1.0,0.8716,0.8509,0.9535,False,6.97,0,,0,0.0,True,low_risk
ID000037,2023-04-30,passport,Spain,0.8673,0.8642,0.8625,False,0.7888,0.6859,True,1.0,0.931,0.907,0.8728,True,0.9791,1.0,0.9119,0.8488,0.848,0.9471,0.875,False,0.05,0,,0,0.0,True,low_risk
ID000038,2023-07-01,drivers_license,Spain,0.769,0.6545,0.9141,True,0.8859,0.691,True,0.7334,0.8999,1.0,0.8592,True,0.8648,0.8054,0.8482,0.7012,0.8551,0.8169,0.9518,False,5.81,0,,0,0.018367236500261036,True,low_risk
ID000039,2023-12-18,passport,Germany,0.7686,0.8717,0.7681,False,0.8668,0.8201,False,0.8642,0.8793,0.9105,0.8174,True,0.9737,0.8185,0.8824,1.0,0.7604,0.9789,0.7504,False,4.41,0,,0,0.016712410541902332,True,low_risk
ID000040,2023-12-21,state_id,Australia,0.9497,0.6127,0.8092,True,0.8503,0.6792,False,0.78,0.8534,1.0,0.9549,True,1.0036,0.9022,0.7797,0.8533,0.904,0.7178,0.9528,False,0.99,0,,0,0.0,True,low_risk
ID000041,2022-03-20,state_id,Australia,0.9151,0.726,0.8611,True,0.9002,0.9846,True,0.7594,0.8806,0.8344,0.7464,True,1.0282,0.7058,0.8047,0.9821,0.7022,0.9156,0.8252,False,4.09,0,,0,0.0,True,low_risk
ID000042,2025-03-26,drivers_license,Spain,0.6834,0.9896,0.859,False,0.8723,0.7655,True,0.8859,0.9177,0.9772,0.8891,True,0.9475,0.7936,0.8654,0.9115,0.7061,0.7052,0.9546,False,1.39,0,,0,0.004449872703502374,True,low_risk
ID000043,2024-01-16,national_id,Australia,0.7469,0.8301,0.6933,True,0.9241,1.0,False,0.9146,0.8919,0.9369,1.0,True,1.0185,0.7296,0.9108,0.8789,0.9326,0.8784,0.7678,False,0.47,0,,0,0.013808739206374593,True,low_risk
ID000044,2023-10-31,national_id,Canada,0.8914,0.7474,0.8568,False,0.8196,0.7588,True,0.7234,0.8646,0.8054,0.8019,True,0.9927,0.7351,1.0,0.9245,0.8766,0.7542,0.952,False,0.31,0,,0,0.0,True,low_risk
ID000045,2025-06-14,state_id,USA,0.8986,0.6681,0.8395,True,0.8273,0.651,False,0.9388,0.8989,0.917,0.8944,True,0.9233,1.0,0.8662,0.7809,0.824,0.89,0.942,False,6.95,0,,0,0.0,True,low_risk
ID000046,2024-08-10,passport,Italy,0.8997,0.663,0.7746,True,0.8602,0.8126,True,0.9059,0.9307,0.8065,0.9104,True,0.9705,0.886,0.9565,0.9484,0.9013,0.833,0.8103,False,2.21,0,,0,0.0,True,low_risk
ID000047,2024-11-21,national_id,UK,0.9155,0.8334,0.8802,True,0.8629,0.9329,True,0.8428,0.8921,0.9621,0.7676,True,0.9651,0.7258,0.9722,0.8717,0.8721,0.8813,0.7942,False,7.91,0,,0,0.0,True,low_risk
ID000048,2022-10-29,passport,Italy,0.8048,0.3326,0.6627,False,0.6279,0.3648,True,0.5344,0.5869,0.8619,1.0,True,0.9219,0.482,0.9116,0.8659,0.365,0.4402,0.5665,False,1.77,1,synthetic_id,1,0.9738376926737174,True,critical_risk
ID000049,2023-02-03,state_id,Italy,0.7695,0.7149,0.666,True,0.7834,0.7129,False,0.9114,0.9101,0.8422,1.0,True,0.9068,0.9467,0.9997,0.7801,0.8667,0.7882,0.8741,False,1.86,0,,0,0.003013232690336409,True,low_risk
ID000050,2024-05-20,state_id,USA,0.799,0.9389,0.9678,True,0.8343,0.7368,True,0.8924,0.8869,0.9443,0.8962,True,0.8642,0.9848,1.0,0.8471,0.8251,0.8686,0.9301,False,6.55,0,,0,0.0,True,low_risk
ID000051,2025-09-29,national_id,Italy,0.782,0.8305,0.6826,True,0.7794,0.9084,True,0.7644,0.8695,0.8994,0.9356,True,0.887,0.4819,0.8004,0.9744,0.8909,0.9724,0.8421,False,5.66,0,,0,0.0,True,low_risk
ID000052,2022-11-22,state_id,Italy,0.8967,0.7841,0.8932,False,0.9687,0.902,False,0.8957,0.984,0.9819,0.9906,True,0.9724,0.8133,0.8817,0.9745,0.7865,0.8769,0.8864,False,8.32,0,,0,0.0,True,low_risk
ID000053,2025-07-07,state_id,UK,0.8319,0.8203,0.9136,True,0.7608,0.8225,False,0.8581,0.9652,0.8055,0.9996,True,0.9507,0.8567,0.8379,0.9277,0.8643,0.9609,0.8235,False,9.32,0,,0,0.0,True,low_risk
ID000054,2022-10-11,state_id,Canada,0.8143,0.8394,0.9366,True,0.7979,0.8333,False,0.787,0.9917,0.7934,0.8353,True,0.9589,0.9866,0.8647,0.8511,1.0,0.6952,0.7781,False,1.64,0,,0,0.012274703496835815,True,low_risk
ID000055,2022-05-08,state_id,Spain,0.9019,0.9187,0.941,True,0.9848,0.7978,True,0.7468,0.9131,0.9443,0.7818,True,1.023,0.9198,0.8535,0.8402,0.7998,0.8474,0.8962,False,3.69,0,,0,0.0,True,low_risk
ID000056,2024-09-03,national_id,France,0.6377,0.8011,0.6748,True,0.5414,0.4526,True,0.3985,0.7957,0.8458,0.6534,True,0.9755,0.5603,0.9092,0.4147,0.8762,0.5124,0.3482,False,0.32,1,template_mismatch,1,0.9904776220846969,True,critical_risk
ID000057,2025-01-23,passport,Italy,0.7227,0.8765,0.7829,False,0.9597,0.7923,True,0.8477,0.9096,0.8518,1.0,False,0.0,0.0,0.5607,0.9616,0.7616,0.8772,0.9387,False,0.4,0,,0,0.010574243036579643,True,low_risk
ID000058,2022-12-05,passport,USA,0.7726,0.8152,0.8397,True,0.7873,0.9703,True,0.929,0.9067,0.9019,0.8967,True,0.8379,0.8053,0.8154,0.8199,0.8347,1.0,0.9485,False,8.01,0,,0,0.0,True,low_risk
ID000059,2022-10-05,passport,USA,0.8105,0.7755,0.8648,False,0.8161,1.0,True,0.8822,0.9436,0.9477,0.8336,True,0.9945,0.8415,0.946,0.8761,0.9786,0.8801,1.0,False,7.32,0,,0,0.0,True,low_risk
ID000060,2023-07-24,state_id,France,0.7979,0.7716,0.8112,True,0.9139,0.8723,True,0.7984,0.9185,1.0,1.0,True,0.9618,0.8338,0.8796,0.9329,0.7679,0.8143,0.8099,False,8.68,0,,0,0.0,True,low_risk
ID000061,2023-04-05,drivers_license,USA,0.9246,0.9073,0.6722,True,0.8079,0.6638,False,1.0,0.9137,1.0,0.7494,False,0.0,0.0,0.5469,0.946,0.8761,0.8933,0.8348,False,6.32,0,,0,0.014541689647278122,True,low_risk
ID000062,2024-08-27,passport,Italy,0.8,0.8596,0.8845,True,0.9009,0.765,True,0.7896,0.9185,0.9821,0.9235,True,0.9215,0.9072,0.6421,0.9704,0.7034,0.8038,0.8428,False,9.69,0,,0,0.0,True,low_risk
ID000063,2022-12-02,drivers_license,USA,0.9146,0.6954,0.9397,True,0.8234,0.6644,True,0.8255,0.7943,0.9178,0.8593,True,1.0017,0.8949,0.7586,0.8313,0.9069,0.9247,0.9834,False,4.75,0,,0,0.0,True,low_risk
ID000064,2022-06-05,passport,UK,0.8806,0.863,0.9327,True,0.8991,0.7941,True,0.8323,0.9157,0.8974,0.9382,True,0.9426,0.9033,0.8635,0.8955,0.6802,0.9316,0.9308,False,4.55,0,,0,0.0,True,low_risk
ID000065,2023-12-13,national_id,UK,0.6819,1.0,0.7616,True,0.9123,0.7262,True,0.908,0.9366,0.8545,0.9658,True,0.9318,0.8847,0.7966,0.8878,1.0,0.9363,0.9285,False,5.71,0,,0,0.0,True,low_risk
ID000066,2024-06-06,state_id,Canada,0.9384,0.9387,0.8975,True,0.7886,0.9833,True,0.7468,0.9382,0.8472,0.8749,True,0.9564,0.8621,0.9038,1.0,0.9008,0.8156,0.9678,False,3.27,0,,0,0.0,True,low_risk
ID000067,2024-08-10,national_id,Australia,0.9338,0.877,0.9049,True,0.9308,0.949,True,0.8265,0.9272,0.828,0.7778,True,0.8578,0.7415,0.9942,0.7813,0.8327,0.7107,0.8739,False,0.73,0,,0,0.0,True,low_risk
ID000068,2024-08-09,state_id,Australia,0.9814,0.921,0.7781,False,1.0,0.9182,True,0.8208,0.77,1.0,0.7688,True,0.8577,0.9323,1.0,0.9869,0.9108,0.8995,0.9612,False,9.56,0,,0,0.0,True,low_risk
ID000069,2023-11-29,national_id,USA,0.8298,0.8592,0.823,True,0.9242,0.8166,False,0.7645,0.8678,0.8311,0.9577,True,0.9091,0.6388,0.9017,0.996,0.9296,0.7797,0.8148,False,1.22,0,,0,0.0,True,low_risk
ID000070,2025-11-15,state_id,Italy,0.894,0.7232,0.8495,True,0.7733,0.7599,False,0.8788,0.8244,0.9308,0.8784,True,0.9676,0.8524,0.9791,0.8988,0.8214,0.8522,0.9426,False,8.19,0,,0,0.0,True,low_risk
ID000071,2025-09-21,state_id,Australia,0.8273,0.8601,0.885,True,0.7763,0.9349,True,0.8229,0.9035,0.9526,0.9398,True,0.905,0.9103,0.8252,1.0,0.7855,0.8639,0.8631,False,4.52,0,,0,0.0,True,low_risk
ID000072,2023-09-20,drivers_license,Germany,0.755,0.851,0.897,True,0.9131,0.8015,True,0.8383,0.9226,0.8897,0.9571,True,1.0505,0.7743,0.7604,0.8838,1.0,0.7596,1.0,False,4.28,0,,0,0.0,True,low_risk
ID000073,2023-03-20,national_id,France,0.9281,0.9304,0.8672,True,0.8373,0.6577,True,0.9007,0.854,0.8502,0.8331,True,0.9301,0.7541,0.8727,0.8465,0.9231,0.9431,0.9165,False,6.51,0,,0,0.0,True,low_risk
ID000074,2022-01-29,passport,France,0.6905,0.8574,0.9505,False,0.7832,0.9873,False,0.8877,0.8777,0.8961,0.9247,True,0.9438,0.8839,0.7963,0.9019,0.7328,0.8289,0.8558,False,7.56,0,,0,0.0,True,low_risk
ID000075,2022-07-30,national_id,Italy,0.9551,0.6985,0.7919,True,0.7674,0.8273,True,0.9202,0.9245,0.9859,0.8201,True,0.9513,0.7773,0.8989,0.9253,0.9124,0.7329,0.8566,False,3.6,0,,0,0.0,True,low_risk
ID000076,2022-08-22,state_id,Italy,0.7031,0.8708,0.7407,False,0.7078,0.8589,True,1.0,0.9196,0.9587,0.8865,True,0.9351,0.9219,0.8468,0.9087,0.889,0.7732,0.9695,False,0.81,0,,0,0.007022035070698422,True,low_risk
ID000077,2022-06-24,drivers_license,Spain,0.755,0.7847,0.7467,True,0.985,0.8251,True,0.8653,0.9065,0.9138,1.0,True,0.925,0.765,0.9124,0.7132,0.8658,0.8028,0.8505,False,0.68,0,,0,0.0031707197489703864,True,low_risk
ID000078,2024-06-25,state_id,France,0.8545,0.873,0.8337,True,0.9189,0.8264,False,0.6722,0.8636,0.8899,0.7832,True,0.97,0.9831,0.9675,0.8751,0.9942,0.8549,0.8898,False,9.84,0,,0,0.0,True,low_risk
ID000079,2025-07-05,drivers_license,Canada,0.8049,0.7789,0.8069,False,0.8235,0.8502,True,0.7935,0.9209,0.849,0.7573,True,0.9856,0.88,1.0,0.8169,0.8412,0.8271,0.9694,False,1.95,0,,0,0.0,True,low_risk
ID000080,2023-08-20,national_id,France,0.4745,0.2756,0.7066,True,0.6018,0.2462,False,0.0,0.5817,0.6584,0.3686,True,0.9492,0.5766,0.7543,0.5739,0.2659,0.7473,0.5899,False,0.49,1,expired_genuine,1,0.9998021088586916,True,critical_risk
ID000081,2025-07-04,passport,Spain,0.7546,0.816,0.9451,False,0.811,0.5897,False,0.81,0.8675,0.7407,0.9028,True,0.9504,0.9442,0.7803,0.7781,0.8234,0.8312,0.9653,False,6.37,0,,0,0.0652876227757357,True,low_risk
ID000082,2022-05-27,national_id,France,0.7613,0.6539,0.8283,False,0.7623,0.3558,False,0.1342,0.7628,0.4445,0.9623,True,0.9468,0.4996,0.6832,0.2806,0.2662,0.7481,0.4952,False,3.31,1,printed_copy,1,0.9835054862333316,True,critical_risk
ID000083,2024-10-21,state_id,UK,0.8139,0.7764,0.8654,True,0.8234,0.7418,True,0.9292,0.9564,0.9918,0.7798,True,0.9149,0.8581,0.796,0.9349,0.9702,0.7817,0.9123,False,9.68,0,,0,0.0,True,low_risk
ID000084,2022-07-07,drivers_license,France,0.7985,0.9128,0.8451,True,0.9015,0.9728,True,0.8957,0.9523,0.9751,0.8508,True,0.898,0.7255,0.7127,1.0,0.7607,0.8179,0.8934,False,8.87,0,,0,0.0,True,low_risk
ID000085,2023-07-24,state_id,Italy,0.7428,0.9113,0.8674,True,0.9013,0.9038,True,0.7768,0.9928,0.8902,0.9511,True,0.9767,0.7261,0.9102,0.9128,0.8627,0.8306,0.9048,False,7.26,0,,0,0.0,True,low_risk
ID000086,2022-11-26,state_id,France,0.8077,0.8786,0.9514,True,0.8817,0.8509,True,1.0,0.9344,1.0,0.9252,True,0.852,0.9053,0.9005,0.9803,0.9206,0.8262,0.8365,False,0.09,0,,0,0.0,True,low_risk
ID000087,2023-10-07,drivers_license,Spain,0.9163,0.7273,0.9559,True,0.8462,0.8461,True,0.724,0.9632,1.0,0.8388,False,0.0,0.0,0.4502,0.9095,0.9909,0.695,0.8436,False,1.49,0,,0,0.003760320967554367,True,low_risk
ID000088,2024-04-26,national_id,Italy,0.7584,0.5329,0.8963,False,0.3701,0.3904,True,0.5052,0.4247,0.2278,0.3606,True,1.0031,0.4586,1.0,0.4372,0.5206,0.813,1.0,False,2.8,1,printed_copy,1,0.9853511449038423,True,critical_risk
ID000089,2024-06-16,state_id,UK,0.9805,0.9156,0.7838,False,0.9462,0.8193,True,0.9681,0.987,0.8546,0.9558,True,0.9741,0.5526,0.9341,0.8598,0.7803,0.7557,0.9019,False,2.21,0,,0,0.0,True,low_risk
ID000090,2025-02-02,state_id,UK,0.877,0.7135,0.4561,False,0.8208,0.5698,True,0.4281,0.6392,0.3881,0.5567,True,0.9944,0.9946,0.9278,0.4522,0.2337,0.5468,0.284,False,1.49,1,template_mismatch,1,0.9760410718318083,True,critical_risk
ID000091,2022-11-12,national_id,France,0.9326,0.8005,0.8068,True,0.9121,0.8008,True,0.9751,0.8533,0.8964,0.8965,True,0.9211,0.5429,0.8571,0.953,0.93,0.8755,0.8441,False,1.35,0,,0,0.0,True,low_risk
ID000092,2024-02-25,passport,UK,0.9113,0.9427,0.831,False,0.8637,0.7322,True,0.7756,0.9064,0.9257,0.9531,True,0.8998,0.9793,0.8483,0.8885,0.7928,0.5976,0.963,False,3.47,0,,0,0.00388058805880588,True,low_risk
ID000093,2022-01-06,national_id,Italy,0.8698,0.8287,0.9032,True,0.8877,0.809,True,0.7956,0.9731,0.8357,0.7912,True,0.9684,0.6967,1.0,0.8956,0.8913,0.7592,0.8911,False,1.51,0,,0,0.0,True,low_risk
ID000094,2024-07-21,passport,Germany,0.7912,0.739,0.8581,True,0.9719,0.7184,False,0.8556,0.9457,0.9485,0.8941,True,0.9216,0.7472,0.8769,0.815,0.5971,0.8837,0.9642,False,4.62,0,,0,0.02844892977135115,True,low_risk
ID000095,2024-02-20,passport,Italy,0.9916,0.7166,0.776,True,0.8859,0.9597,False,0.8551,0.8812,0.8959,0.8297,True,0.9701,0.7591,0.8292,0.9713,0.7908,0.6954,0.9157,False,8.78,0,,0,0.0,True,low_risk
ID000096,2024-06-20,state_id,USA,0.8267,0.6637,0.9195,True,0.8738,0.802,True,1.0,0.9379,0.8474,0.8459,True,0.9974,0.8413,0.7549,0.9543,0.7999,1.0,0.9748,False,7.98,0,,0,0.0,True,low_risk
ID000097,2023-06-27,state_id,UK,0.9112,0.8008,0.7303,True,0.8894,0.9183,True,0.9091,0.97,0.8701,0.8588,True,0.9642,0.7753,0.8287,0.9109,0.9285,0.82,0.8402,False,6.15,0,,0,0.0,True,low_risk
ID000098,2025-07-07,state_id,USA,0.8519,0.9612,0.8328,True,0.9162,0.7138,False,0.8885,0.9088,0.969,0.975,True,1.0695,0.888,0.8961,0.9036,0.8282,0.8738,0.8923,False,8.19,0,,0,0.0,True,low_risk
ID000099,2022-07-05,drivers_license,UK,0.9946,0.8551,0.8127,True,0.7236,0.8035,True,0.9675,0.9145,0.7432,0.8401,True,0.9896,0.8846,0.8028,0.8504,0.823,0.7737,0.7882,False,7.49,0,,0,0.035448615408501416,True,low_risk
ID000100,2023-08-24,state_id,Canada,0.9474,0.9721,0.9298,False,0.8455,0.8604,True,0.8478,0.8658,0.9227,0.7857,True,0.9994,0.7835,0.8861,0.9098,0.8367,0.8987,0.8815,False,2.79,0,,0,0.0,True,low_risk
ID000101,2022-06-11,state_id,Germany,0.9601,0.9213,0.6657,True,0.8901,0.9229,True,0.7315,0.9634,0.9467,0.783,True,0.9817,0.8573,0.922,0.8224,0.8735,0.6695,0.7734,False,8.65,0,,0,0.009446760664909374,True,low_risk
ID000102,2023-06-07,state_id,France,0.6762,0.9047,0.7918,True,0.8728,0.8532,False,0.8671,0.9626,0.8695,0.921,True,0.927,0.9039,0.9192,0.8245,0.9577,0.7864,0.9585,False,8.73,0,,0,0.004532996880804682,True,low_risk
ID000103,2025-08-01,national_id,Italy,0.8772,0.7554,0.758,True,0.8873,0.6315,False,0.8233,0.8236,0.9545,0.964,True,0.8968,0.8728,0.9419,0.9532,0.8793,0.9134,0.871,False,0.35,0,,0,0.002513799269221799,True,low_risk
ID000104,2024-02-21,national_id,France,0.8556,0.9362,0.7565,False,0.8991,0.9175,True,0.8951,0.9314,0.9701,0.6637,True,0.9739,0.7646,0.7235,0.9258,0.9836,0.8263,0.9672,True,6.07,0,,0,0.0035408453788874287,True,low_risk
ID000105,2025-05-26,national_id,Germany,0.9477,0.995,0.7487,True,0.9426,0.7235,True,0.8527,0.9046,0.7318,0.9139,True,0.9472,0.9779,0.9189,1.0,0.8696,0.8294,0.8989,False,3.62,0,,0,0.0,True,low_risk
